Symbol,Name Arabic,Current Price (EGP),Change %,Fair Value (EGP),Fair Value Upside %,Signal,RSI (14),SMA20,SMA50,Support (EGP),Resistance (EGP),Entry Zone Min (EGP),Entry Zone Max (EGP),Target 1 (EGP),Target 2 - Fair Value (EGP),Stop Loss (EGP),Sharia Status,Last Update Time
MKIT,"المصرية الكويتية للاستثمار والتجارة",2.72,-0.73,3.26,19.85,NEUTRAL,41.57,2.76,2.83,2.1,3.86,2.69,2.76,2.86,3.26,2.62,Halal - Sharia Compliant,٣٠‏/٧‏/٢٠٢٦، ٦:٣٨:٤٢ م
IFAP,"الدولية للمحاصيل الزراعية",19.51,-1.01,23.28,19.32,NEUTRAL,50.21,19.48,19.6,15.47,24.42,19.29,19.73,20.39,23.28,18.85,Halal - Sharia Compliant,٣٠‏/٧‏/٢٠٢٦، ٦:٣٨:٤٢ م
AMOC,"الإسكندرية للزيوت المعدنية",8.91,6.96,10.52,18.07,BUY,70.42,8.17,8.14,7.1,10.29,8.8,9.02,9.33,10.52,8.6,Halal - Sharia Compliant,٣٠‏/٧‏/٢٠٢٦، ٦:٣٨:٤٢ م
AMPI,"نوفيدا للاستثمار والتكنولوجيا",2.95,-2.32,3.48,17.97,BUY,55.44,2.88,2.69,2.13,3.92,2.89,3.02,3.21,3.48,2.76,Halal - Sharia Compliant,٣٠‏/٧‏/٢٠٢٦، ٦:٣٨:٤٢ م
UEFM,"مطاحن مصر العليا",538.1,-2.17,628.14,16.73,BUY,59.55,520.6,495.18,417.07,642.06,526.49,549.72,584.56,628.14,503.25,Halal - Sharia Compliant,٣٠‏/٧‏/٢٠٢٦، ٦:٣٨:٤٢ م
ELKA,"القاهرة للاسكان والتعمير",1.69,-7.65,1.95,15.38,BUY,49.36,1.77,1.45,1.02,2.31,1.64,1.74,1.91,2.02,1.52,Halal - Sharia Compliant,٣٠‏/٧‏/٢٠٢٦، ٦:٣٨:٤٢ م
GGCC,"الجيزة العامة للمقاولات والاستثمار العقاري",0.83,-1.19,0.95,14.46,NEUTRAL,71.82,0.71,0.53,0.44,1.08,0.8,0.85,0.93,0.98,0.75,Halal - Sharia Compliant,٣٠‏/٧‏/٢٠٢٦، ٦:٣٨:٤٢ م
ATQA,"مصر الوطنية للصلب",9.78,-2.69,11.18,14.31,NEUTRAL,52.55,9.69,9.65,7.61,12.09,9.65,9.9,10.28,11.18,9.4,Halal - Sharia Compliant,٣٠‏/٧‏/٢٠٢٦، ٦:٣٨:٤٢ م
BIGP,"سهم بى اى جى للتجارة والاستثمار",0.28,5.68,0.32,14.29,NEUTRAL,53.75,0.28,0.22,0.15,0.4,0.27,0.29,0.32,0.34,0.25,Halal - Sharia Compliant,٣٠‏/٧‏/٢٠٢٦، ٦:٣٨:٤٢ م
LCSW,"ليسيكو",34.29,-1.32,37.87,10.44,NEUTRAL,62.18,32.5,29.49,25.74,39.92,33.34,35.24,38.09,39.99,31.44,Halal - Sharia Compliant,٣٠‏/٧‏/٢٠٢٦، ٦:٣٨:٤٢ م
APSW,"العربية وبولفارا للغزل والنسيج",8.75,-2.13,9.38,7.2,NEUTRAL,50.03,8.72,8.74,6.96,11.09,8.59,8.91,9.39,9.71,8.27,Halal - Sharia Compliant,٣٠‏/٧‏/٢٠٢٦، ٦:٣٨:٤٢ م
NCCW,"النصر للأعمال المدنية",6.9,-2.27,7.38,6.96,NEUTRAL,61,6.57,6.18,4.47,9.04,6.77,7.03,7.42,7.68,6.51,Halal - Sharia Compliant,٣٠‏/٧‏/٢٠٢٦، ٦:٣٨:٤٢ م
BIOC,"جلاكسو سميثكلاين",239.76,20,255.31,6.49,NEUTRAL,90.9,109.71,87.17,108.41,305.44,232.56,246.96,268.56,282.96,218.16,Halal - Sharia Compliant,٣٠‏/٧‏/٢٠٢٦، ٦:٣٨:٤٢ م
SMFR,"سماد مصر",233.47,0.27,247.72,6.1,NEUTRAL,61.78,221.96,211.32,171.98,285.98,227.38,239.56,257.83,270.01,215.2,Halal - Sharia Compliant,٣٠‏/٧‏/٢٠٢٦، ٦:٣٨:٤٢ م
EGAS,"غاز مصر",52.77,1.27,55.71,5.57,NEUTRAL,57.7,51.61,50.61,42.85,58.85,51.83,53.72,56.55,58.44,49.94,Halal - Sharia Compliant,٣٠‏/٧‏/٢٠٢٦، ٦:٣٨:٤٢ م
HBCO,"هيبكو للاستثمارات التجارية والتنمية العقارية",8.5,2.04,8.97,5.53,NEUTRAL,65.69,7.13,6.12,4.29,10.91,8.18,8.82,9.78,10.42,7.54,Halal - Sharia Compliant,٣٠‏/٧‏/٢٠٢٦، ٦:٣٨:٤٢ م
CEFM,"مطاحن مصر الوسطى",135.08,-0.2,142,5.12,NEUTRAL,66.89,115.58,109.54,76.15,173,130.36,139.81,153.98,163.43,120.91,Halal - Sharia Compliant,٣٠‏/٧‏/٢٠٢٦، ٦:٣٨:٤٢ م
MILS,"مطاحن ومخابز شمال القاهرة",190.3,-1.14,200.05,5.12,NEUTRAL,67.83,153.47,143.64,93.87,249.12,183.36,197.25,218.08,231.97,169.47,Halal - Sharia Compliant,٣٠‏/٧‏/٢٠٢٦، ٦:٣٨:٤٢ م
ZEOT,"الزيوت المستخلصة ومنتجاتها",12.18,-1.77,12.78,4.93,NEUTRAL,64.92,11.57,10.49,6.21,15.84,11.92,12.44,13.22,13.74,11.4,Halal - Sharia Compliant,٣٠‏/٧‏/٢٠٢٦، ٦:٣٨:٤٢ م
SPIN,"الإسكندرية للغزل والنسيج (سبينالكس)",15.74,0.77,16.51,4.89,NEUTRAL,65.26,14.91,14.47,10.87,19.25,15.45,16.03,16.9,17.48,14.87,Halal - Sharia Compliant,٣٠‏/٧‏/٢٠٢٦، ٦:٣٨:٤٢ م
